model,track,split,metric,value
iDNA-ABT,Adipocytes,VALID,Spearman,0.3880451778002946
iDNA-ABT,Adipocytes,VALID,AUC,0.7454914127135536
iDNA-ABT,Adipocytes,TEST,Spearman,0.3920112402713392
iDNA-ABT,Adipocytes,TEST,AUC,0.7514980727503662
iDNA-ABT,Adipocytes,cell type specific,Spearman,0.1088423891160539
iDNA-ABT,Adipocytes,cell type specific,AUC,0.5203539823008849
iDNA-ABT,Aorta-Endothel,VALID,Spearman,0.3818527130174718
iDNA-ABT,Aorta-Endothel,VALID,AUC,0.7412935243784368
iDNA-ABT,Aorta-Endothel,TEST,Spearman,0.3744817363661716
iDNA-ABT,Aorta-Endothel,TEST,AUC,0.7427277809940388
iDNA-ABT,Aorta-Endothel,cell type specific,Spearman,0.00801151904242096
iDNA-ABT,Aorta-Endothel,cell type specific,AUC,0.5155339897013576
iDNA-ABT,Aorta-Smooth-Muscle,VALID,Spearman,0.2231215926287423
iDNA-ABT,Aorta-Smooth-Muscle,VALID,AUC,0.6205834828513506
iDNA-ABT,Aorta-Smooth-Muscle,TEST,Spearman,0.2242804657876085
iDNA-ABT,Aorta-Smooth-Muscle,TEST,AUC,0.6209614459770412
iDNA-ABT,Aorta-Smooth-Muscle,cell type specific,Spearman,0.1141402957282843
iDNA-ABT,Aorta-Smooth-Muscle,cell type specific,AUC,0.5343088767297302
iDNA-ABT,Bladder-Epithelial,VALID,Spearman,0.4004332462368538
iDNA-ABT,Bladder-Epithelial,VALID,AUC,0.7447201519161953
iDNA-ABT,Bladder-Epithelial,TEST,Spearman,0.398649538479575
iDNA-ABT,Bladder-Epithelial,TEST,AUC,0.7463066712384744
iDNA-ABT,Bladder-Epithelial,cell type specific,Spearman,0.1592791684586637
iDNA-ABT,Bladder-Epithelial,cell type specific,AUC,0.7853938687393278
iDNA-ABT,Blood-B,VALID,Spearman,0.262053381125598
iDNA-ABT,Blood-B,VALID,AUC,0.7294128793404583
iDNA-ABT,Blood-B,TEST,Spearman,0.2584941545252553
iDNA-ABT,Blood-B,TEST,AUC,0.7331577561913086
iDNA-ABT,Blood-B,cell type specific,Spearman,0.07147718427189499
iDNA-ABT,Blood-B,cell type specific,AUC,0.7556068889544478
iDNA-ABT,Blood-Granulocytes,VALID,Spearman,0.3227803419310377
iDNA-ABT,Blood-Granulocytes,VALID,AUC,0.7677150670085982
iDNA-ABT,Blood-Granulocytes,TEST,Spearman,0.3219939682061906
iDNA-ABT,Blood-Granulocytes,TEST,AUC,0.7715737066740938
iDNA-ABT,Blood-Granulocytes,cell type specific,Spearman,0.225392014501791
iDNA-ABT,Blood-Granulocytes,cell type specific,AUC,0.6317641809455922
iDNA-ABT,Blood-Monocytes,VALID,Spearman,0.0792514682462155
