model,fpr,tpr
Melody-MT,0.0,0.0
Melody-MT,0.0,2.499886223127024e-05
Melody-MT,0.0,4.134427215171617e-05
Melody-MT,0.0,4.871573152760355e-05
Melody-MT,0.0,5.993316970830174e-05
Melody-MT,0.0,6.698413085045488e-05
Melody-MT,0.0,7.435559022634226e-05
Melody-MT,0.0,8.429103547210351e-05
Melody-MT,0.0,9.134199661425666e-05
Melody-MT,0.0,9.903395422387828e-05
Melody-MT,0.0,0.0001089693994696
Melody-MT,0.0,0.0001150588659105
Melody-MT,0.0,0.0001246738129226
Melody-MT,0.0,0.0001336477634671
Melody-MT,0.0,0.0001416602193105
Melody-MT,0.0,0.0001509546680888
Melody-MT,0.0,0.0001612106115683
Melody-MT,0.0,0.0001705050603466
Melody-MT,0.0,0.0001804405055923
Melody-MT,0.0,0.0001919784420068
Melody-MT,0.0,0.00020255488372
Melody-MT,0.0,0.0002099263430959
Melody-MT,0.0,0.0002179387989392
Melody-MT,0.0,0.0002265922512501
Melody-MT,0.0,0.0002378096894308
Melody-MT,0.0,0.0002496681240789
Melody-MT,0.0,0.0002573600816885
Melody-MT,0.0,0.0002685775198692
Melody-MT,0.0,0.0002788334633487
Melody-MT,0.0,0.0002878074138933
Melody-MT,0.0,0.0002951788732692
Melody-MT,0.0,0.0003076783043848
Melody-MT,0.0,0.0003166522549294
Melody-MT,0.0,0.0003275491948763
Melody-MT,0.0,0.000340048625992
Melody-MT,0.0,0.0003522275588739
Melody-MT,0.0,0.0003608810111847
Melody-MT,1.282284723629174e-06,0.0003727394458329
Melody-MT,1.282284723629174e-06,0.0003900463504545
Melody-MT,1.282284723629174e-06,0.0004009432904015
Melody-MT,1.282284723629174e-06,0.0004166477038545
Melody-MT,1.282284723629174e-06,0.0004269036473339
Melody-MT,1.282284723629174e-06,0.000436518594346
Melody-MT,1.282284723629174e-06,0.000452223007799
Melody-MT,1.282284723629174e-06,0.0004611969583435
Melody-MT,1.282284723629174e-06,0.0004727348947579
Melody-MT,1.282284723629174e-06,0.0004938877781844
Melody-MT,1.282284723629174e-06,0.0005092716934036
Melody-MT,1.282284723629174e-06,0.0005265785980253
Melody-MT,1.282284723629174e-06,0.0005400395238421
Melody-MT,1.282284723629174e-06,0.0005509364637891
Melody-MT,3.84685417088752e-06,0.0005656793825409
Melody-MT,3.84685417088752e-06,0.0005829862871625
Melody-MT,3.84685417088752e-06,0.0005999726935504
