model,recall,precision
Melody-MT,1.0,0.8000364102564103
Melody-MT,1.0,0.8000382564985407
Melody-MT,1.0,0.800040513028272
Melody-MT,1.0,0.8000425644299828
Melody-MT,1.0,0.8000450261259224
Melody-MT,1.0,0.8000470775507776
Melody-MT,1.0,0.8000497444188173
Melody-MT,0.9999996795017664,0.8000515394526818
Melody-MT,0.9999996795017664,0.8000537960580669
Melody-MT,0.9999993590035324,0.8000560014072149
Melody-MT,0.9999993590035324,0.8000584631874232
Melody-MT,0.9999993590035324,0.8000609249827815
Melody-MT,0.9999993590035324,0.8000635919448493
Melody-MT,0.9999993590035324,0.8000668743841107
Melody-MT,0.9999993590035324,0.8000691310767267
Melody-MT,0.9999993590035324,0.8000715929377362
Melody-MT,0.9999993590035324,0.8000738496569709
Melody-MT,0.9999993590035324,0.8000769270218986
Melody-MT,0.9999993590035324,0.8000793889308855
Melody-MT,0.9999993590035324,0.8000818508550235
Melody-MT,0.9999993590035324,0.8000845179566041
Melody-MT,0.9999993590035324,0.8000878005675753
Melody-MT,0.9999993590035324,0.8000912883712462
Melody-MT,0.9999993590035324,0.8000947762053259
Melody-MT,0.9999993590035324,0.8000978537312377
Melody-MT,0.9999993590035324,0.8001009312808246
Melody-MT,0.9999993590035324,0.8001050347171025
Melody-MT,0.9999993590035324,0.8001095485456226
Melody-MT,0.9999993590035324,0.80011283136199
Melody-MT,0.9999993590035324,0.8001165245626034
Melody-MT,0.9999993590035324,0.8001218592459036
Melody-MT,0.9999990385052988,0.8001259116413134
Melody-MT,0.9999990385052988,0.8001291945930088
Melody-MT,0.9999990385052988,0.8001349398233012
Melody-MT,0.9999990385052988,0.800140069562925
Melody-MT,0.9999990385052988,0.800144583788203
Melody-MT,0.9999990385052988,0.800148072088078
Melody-MT,0.9999990385052988,0.8001529967985048
Melody-MT,0.9999990385052988,0.8001583319698764
Melody-MT,0.9999990385052988,0.8001638724154512
Melody-MT,0.9999990385052988,0.800170028556078
Melody-MT,0.9999990385052988,0.8001761847914313
Melody-MT,0.9999990385052988,0.8001829567597316
Melody-MT,0.9999990385052988,0.800187676684211
Melody-MT,0.9999990385052988,0.800192601882164
Melody-MT,0.9999990385052988,0.8001999897927754
Melody-MT,0.9999990385052988,0.8002047099181981
Melody-MT,0.9999990385052988,0.8002110719144838
Melody-MT,0.9999987180070652,0.8002186141596012
Melody-MT,0.9999987180070652,0.800227233965066
Melody-MT,0.9999987180070652,0.8002342120388374
Melody-MT,0.9999987180070652,0.8002420112064833
