bin_mid,model,mse,n_CpG_evaluations
0.05,CpGenie,0.1240659681,99978237
0.05,Melody-MT,0.06137070941,101316795
0.05,Melody-ST,0.06883143446,101316795
0.05,INTERACT,0.0990683252,99978237
0.05,iDNA-ABT,0.3609792671,99978237
0.15,CpGenie,0.1637912386,25655429
0.15,Melody-MT,0.05115300782,25703763
0.15,Melody-ST,0.06070610516,25703763
0.15,INTERACT,0.1285990778,25655429
0.15,iDNA-ABT,0.2971007999,25655429
0.25,CpGenie,0.1562815132,22060989
0.25,Melody-MT,0.0518215389,22853964
0.25,Melody-ST,0.06119026241,22853964
0.25,INTERACT,0.1286446476,22060989
0.25,iDNA-ABT,0.2209929468,22060989
0.35,CpGenie,0.1238431661,25435897
0.35,Melody-MT,0.05050467515,24816190
0.35,Melody-ST,0.05694582213,24816190
0.35,INTERACT,0.1064364709,25435897
0.35,iDNA-ABT,0.1494578261,25435897
0.45,CpGenie,0.08747039709,31846643
0.45,Melody-MT,0.0439359193,31894690
0.45,Melody-ST,0.0476637342,31894690
0.45,INTERACT,0.07778639311,31846643
0.45,iDNA-ABT,0.09186871654,31846643
0.55,CpGenie,0.05470444804,45431985
0.55,Melody-MT,0.03417116626,49062370
0.55,Melody-ST,0.03648552135,49062370
0.55,INTERACT,0.04951331283,45431985
0.55,iDNA-ABT,0.04733095414,45431985
0.65,CpGenie,0.03098615465,61528340
0.65,Melody-MT,0.02782062121,58404781
0.65,Melody-ST,0.02967024022,58404781
0.65,INTERACT,0.0287010586,61528340
0.65,iDNA-ABT,0.01928399587,61528340
0.75,CpGenie,0.01988401575,86809041
0.75,Melody-MT,0.02638623119,86964028
0.75,Melody-ST,0.02913936704,86964028
0.75,INTERACT,0.01892441628,86809041
0.75,iDNA-ABT,0.009411149471,86809041
0.85,CpGenie,0.01703473954,199838077
0.85,Melody-MT,0.02248964195,191062893
0.85,Melody-ST,0.02740432035,191062893
0.85,INTERACT,0.0155343783,199838077
0.85,iDNA-ABT,0.01425935681,199838077
0.95,CpGenie,0.0185116418,358180291
0.95,Melody-MT,0.01736418032,367334711
0.95,Melody-ST,0.02420704524,367334711
0.95,INTERACT,0.01504089619,358180291
0.95,iDNA-ABT,0.02662962175,358180291
1.05,CpGenie,0.03900315536,122362025
1.05,Melody-MT,0.02995188452,125203288
1.05,Melody-ST,0.0381313695,125203288
1.05,INTERACT,0.0351500011,122362025
1.05,iDNA-ABT,0.05346072437,122362025
