model,track,split,AUC,n_CpG_evaluations
iDNA-ABT,Aorta-Smooth-Muscle,TEST,0.622165959525,2469341
iDNA-ABT,Aorta-Smooth-Muscle,VALID,0.62164502814,1345928
iDNA-ABT,Bone-Osteoblasts,TEST,0.747377772367,2469249
iDNA-ABT,Bone-Osteoblasts,VALID,0.748492425657,1344426
iDNA-ABT,Colon-Right-Epithelial,TEST,0.739774824962,2469355
iDNA-ABT,Colon-Right-Epithelial,VALID,0.737380083947,1345062
iDNA-ABT,Cortex-Neuron,TEST,0.800492584304,2456794
iDNA-ABT,Cortex-Neuron,VALID,0.796649627529,1340330
iDNA-ABT,Heart-Cardiomyocyte,TEST,0.684036728382,2415111
iDNA-ABT,Heart-Cardiomyocyte,VALID,0.680301289025,1321419
iDNA-ABT,Heart-Fibroblasts,TEST,0.679739260448,2455630
iDNA-ABT,Heart-Fibroblasts,VALID,0.68328753671,1339708
iDNA-ABT,Ovary-Epithelial,TEST,0.692637167178,2457484
iDNA-ABT,Ovary-Epithelial,VALID,0.694624864257,1341794
CpGenie,Aorta-Smooth-Muscle,TEST,0.811668593693,2469341
CpGenie,Aorta-Smooth-Muscle,VALID,0.81458462208,1345928
CpGenie,Bone-Osteoblasts,TEST,0.834134051265,2469249
CpGenie,Bone-Osteoblasts,VALID,0.834524982379,1344426
CpGenie,Colon-Right-Epithelial,TEST,0.845585998245,2469355
CpGenie,Colon-Right-Epithelial,VALID,0.848487618791,1345062
CpGenie,Cortex-Neuron,TEST,0.888631529161,2456794
CpGenie,Cortex-Neuron,VALID,0.88868398064,1340330
CpGenie,Heart-Cardiomyocyte,TEST,0.834655059743,2415111
CpGenie,Heart-Cardiomyocyte,VALID,0.835678306408,1321419
CpGenie,Heart-Fibroblasts,TEST,0.786831465321,2455630
CpGenie,Heart-Fibroblasts,VALID,0.790575121404,1339708
CpGenie,Ovary-Epithelial,TEST,0.8152899003,2457484
CpGenie,Ovary-Epithelial,VALID,0.820585468276,1341794
INTERACT,Aorta-Smooth-Muscle,TEST,0.841723412357,2469341
INTERACT,Aorta-Smooth-Muscle,VALID,0.843286511328,1345928
INTERACT,Bone-Osteoblasts,TEST,0.851862918184,2469249
INTERACT,Bone-Osteoblasts,VALID,0.851943233523,1344426
INTERACT,Colon-Right-Epithelial,TEST,0.875291088248,2469355
INTERACT,Colon-Right-Epithelial,VALID,0.877890181262,1345062
INTERACT,Cortex-Neuron,TEST,0.904191396152,2456794
INTERACT,Cortex-Neuron,VALID,0.903040875285,1340330
INTERACT,Heart-Cardiomyocyte,TEST,0.858117494155,2415111
INTERACT,Heart-Cardiomyocyte,VALID,0.858434312708,1321419
INTERACT,Heart-Fibroblasts,TEST,0.821074554213,2455630
INTERACT,Heart-Fibroblasts,VALID,0.823086601248,1339708
INTERACT,Ovary-Epithelial,TEST,0.844496167697,2457484
INTERACT,Ovary-Epithelial,VALID,0.84957225489,1341794
Melody-ST,Aorta-Smooth-Muscle,TEST,0.87786979555,2484666
Melody-ST,Aorta-Smooth-Muscle,VALID,0.881234162188,1351403
Melody-ST,Bone-Osteoblasts,TEST,0.889182532959,2485804
Melody-ST,Bone-Osteoblasts,VALID,0.889552254681,1350080
Melody-ST,Colon-Right-Epithelial,TEST,0.907349132355,2485106
Melody-ST,Colon-Right-Epithelial,VALID,0.908303408961,1350288
Melody-ST,Cortex-Neuron,TEST,0.917406161175,2466566
Melody-ST,Cortex-Neuron,VALID,0.918146560936,1343803
Melody-ST,Heart-Cardiomyocyte,TEST,0.877880183145,2421597
Melody-ST,Heart-Cardiomyocyte,VALID,0.879732928866,1323762
Melody-ST,Heart-Fibroblasts,TEST,0.861955026992,2467844
Melody-ST,Heart-Fibroblasts,VALID,0.864005768076,1343369
Melody-ST,Ovary-Epithelial,TEST,0.873866911141,2468640
Melody-ST,Ovary-Epithelial,VALID,0.878641967584,1345820
Melody-MT,Aorta-Smooth-Muscle,TEST,0.876383748783,2484666
Melody-MT,Aorta-Smooth-Muscle,VALID,0.879053437745,1351403
Melody-MT,Bone-Osteoblasts,TEST,0.885554978294,2485804
Melody-MT,Bone-Osteoblasts,VALID,0.886237391923,1350080
Melody-MT,Colon-Right-Epithelial,TEST,0.90957139871,2485106
Melody-MT,Colon-Right-Epithelial,VALID,0.911692351707,1350288
Melody-MT,Cortex-Neuron,TEST,0.921850155213,2466566
Melody-MT,Cortex-Neuron,VALID,0.922300272967,1343803
Melody-MT,Heart-Cardiomyocyte,TEST,0.883087287677,2421597
Melody-MT,Heart-Cardiomyocyte,VALID,0.885043330171,1323762
Melody-MT,Heart-Fibroblasts,TEST,0.859651657094,2467844
Melody-MT,Heart-Fibroblasts,VALID,0.86046716541,1343369
Melody-MT,Ovary-Epithelial,TEST,0.880698227728,2468640
Melody-MT,Ovary-Epithelial,VALID,0.884854082735,1345820
