alpha_beta,track,MAE
"a=1,b=1",Adipocytes,0.4314560460334178
"a=1,b=1",Aorta-Endothel,0.336894282128617
"a=1,b=1",Aorta-Smooth-Muscle,0.2565096678590117
"a=1,b=1",Bladder-Epithelial,0.5731906109506231
"a=1,b=1",Blood-B,0.724429022671543
"a=1,b=1",Blood-Granulocytes,0.6033243874353368
"a=1,b=1",Blood-Monocytes,0.5881951356824447
"a=1,b=1",Blood-NK,0.6563125184299995
"a=1,b=1",Blood-T-CD3,0.7030798264539225
"a=1,b=1",Bone-Osteoblasts,0.5176297046194474
"a=1,b=1",Bone_marrow-Erythrocyte_progenitors,0.546016668105199
"a=1,b=1",Breast-Basal-Epithelial,0.528781567869434
"a=1,b=1",Breast-Luminal-Epithelial,0.4840593740662348
"a=1,b=1",Colon-Fibroblasts,0.2942479486340907
"a=1,b=1",Colon-Right-Epithelial,0.4226912688787623
"a=1,b=1",Cortex-Neuron,0.3131219038832814
"a=1,b=1",Dermal-Fibroblasts,0.4962880384602717
"a=1,b=1",Epidermal-Keratinocytes,0.5219053479680311
"a=1,b=1",Fallopian-Epithelial,0.5526943463742733
"a=1,b=1",Gallbladder-Epithelial,0.6361884133860175
"a=1,b=1",Gastric-fundus-Epithelial,0.4561459994482541
"a=1,b=1",Heart-Cardiomyocyte,0.5552760259341941
"a=1,b=1",Heart-Fibroblasts,0.4080424591618414
"a=1,b=1",Kidney-Tubular-Endothel,0.06059303396678233
"a=1,b=1",Liver-Hepatocytes,0.596887028665327
"a=1,b=1",Lung-Alveolar-Epithelial,0.4706554829238078
"a=1,b=1",Lung-Bronchus-Epithelial,0.5135296805608341
"a=1,b=1",Oligodendrocytes,0.477871973717282
"a=1,b=1",Ovary-Epithelial,0.4342101362376559
"a=1,b=1",Pancreas-Acinar,0.7426601442247757
"a=1,b=1",Pancreas-Alpha,0.5417704413748811
"a=1,b=1",Pancreas-Beta,0.4805668660028674
"a=1,b=1",Pancreas-Delta,0.4835441324082767
"a=1,b=1",Pancreas-Duct,0.6899848349086226
"a=1,b=1",Prostate-Epithelial,0.4713614229581875
"a=1,b=1",Skeletal-Muscle,0.4263336660432746
"a=1,b=1",Small-int-Epithelial,0.4315156338656871
"a=1,b=1",Thyroid-Epithelial,0.6370958500782719
"a=1,b=8",Adipocytes,0.3419833673106041
"a=1,b=8",Aorta-Endothel,0.243273596784257
"a=1,b=8",Aorta-Smooth-Muscle,0.151353735284502
"a=1,b=8",Bladder-Epithelial,0.4313937134003479
"a=1,b=8",Blood-B,0.6294477703609059
"a=1,b=8",Blood-Granulocytes,0.483357872376882
"a=1,b=8",Blood-Monocytes,0.4137518173453502
"a=1,b=8",Blood-NK,0.5617443108646085
"a=1,b=8",Blood-T-CD3,0.6125375026904067
"a=1,b=8",Bone-Osteoblasts,0.4019895914246638
"a=1,b=8",Bone_marrow-Erythrocyte_progenitors,0.4277812846188928
"a=1,b=8",Breast-Basal-Epithelial,0.4076943916622066
"a=1,b=8",Breast-Luminal-Epithelial,0.3767250706618534
"a=1,b=8",Colon-Fibroblasts,0.2250685935367399
"a=1,b=8",Colon-Right-Epithelial,0.264005605398669
"a=1,b=8",Cortex-Neuron,0.2595050739894756
"a=1,b=8",Dermal-Fibroblasts,0.4119894999584982
"a=1,b=8",Epidermal-Keratinocytes,0.3736963592046598
"a=1,b=8",Fallopian-Epithelial,0.4703631965994835
"a=1,b=8",Gallbladder-Epithelial,0.5073925255993431
"a=1,b=8",Gastric-fundus-Epithelial,0.3409002362399418
"a=1,b=8",Heart-Cardiomyocyte,0.4093910957878781
"a=1,b=8",Heart-Fibroblasts,0.2751337726732108
"a=1,b=8",Kidney-Tubular-Endothel,0.0726384498833955
"a=1,b=8",Liver-Hepatocytes,0.4899050143524824
"a=1,b=8",Lung-Alveolar-Epithelial,0.3848580120050267
