metric,length,avg_num,cg_num,mean,std,n_tissues
Metric_valid/mae_CpG/Step,10000,0.0,0.0,0.14389,0.02058,39
Metric_valid/mae_CpG/Step,10000,0.0,0.01,0.14301,0.0196,39
Metric_valid/mae_CpG/Step,10000,0.0,0.1,0.13901,0.01816,39
Metric_valid/mae_CpG/Step,10000,0.0,1.0,0.1404,0.01885,39
Metric_valid/mae_CpG/Step,10000,0.01,0.0,0.1445,0.01989,39
Metric_valid/mae_CpG/Step,10000,0.01,0.01,0.13846,0.0185,39
Metric_valid/mae_CpG/Step,10000,0.01,0.1,0.13937,0.01929,39
Metric_valid/mae_CpG/Step,10000,0.01,1.0,0.13623,0.01695,39
Metric_valid/mae_CpG/Step,10000,0.1,0.0,0.14026,0.01934,39
Metric_valid/mae_CpG/Step,10000,0.1,0.01,0.13839,0.01818,39
Metric_valid/mae_CpG/Step,10000,0.1,0.1,0.13927,0.01824,39
Metric_valid/mae_CpG/Step,10000,0.1,1.0,0.1414,0.01856,39
Metric_valid/mae_CpG/Step,10000,1.0,0.0,0.13715,0.01808,39
Metric_valid/mae_CpG/Step,10000,1.0,0.01,0.13286,0.01679,39
Metric_valid/mae_CpG/Step,10000,1.0,0.1,0.13563,0.01807,39
Metric_valid/mae_CpG/Step,10000,1.0,1.0,0.13507,0.01745,39
