model,meQTL_Dataset,method,pearson_r
Melody-MT,CPG_units,related tracks,0.4622850154926412
Melody-MT,CPG_units,single track,0.443145987875581
Melody-MT,EPIC,related tracks,0.248045554651884
Melody-MT,EPIC,single track,0.2504350483869548
Melody-MT,GTEX_BreastMammaryTissue,related tracks,0.3977465931072627
Melody-MT,GTEX_BreastMammaryTissue,single track,0.3841308154506574
Melody-MT,GTEX_ColonTransverse,related tracks,0.4290639301528088
Melody-MT,GTEX_ColonTransverse,single track,0.3992588789813229
Melody-MT,GTEX_KidneyCortex,related tracks,0.3680664953111994
Melody-MT,GTEX_KidneyCortex,single track,0.3680664953111994
Melody-MT,GTEX_Lung,related tracks,0.4382879463238289
Melody-MT,GTEX_Lung,single track,0.4277793500040924
Melody-MT,GTEX_MuscleSkeletal,related tracks,0.3700658648153684
Melody-MT,GTEX_MuscleSkeletal,single track,0.3720943705749628
Melody-MT,GTEX_Ovary,related tracks,0.3996063520231283
Melody-MT,GTEX_Ovary,single track,0.3941849852727906
Melody-MT,GTEX_Prostate,related tracks,0.4716810349191206
Melody-MT,GTEX_Prostate,single track,0.4716810349191206
Melody-MT,GTEX_Testis,related tracks,0.272958566766437
Melody-MT,GTEX_Testis,single track,0.2503206469946487
Melody-MT,GTEX_WholeBlood,related tracks,0.4236300726116341
Melody-MT,GTEX_WholeBlood,single track,0.4073874458399487
Melody-MT,MDSs,related tracks,0.6253201813424454
Melody-MT,MDSs,single track,0.6050979582852857
Melody-MT,skin,related tracks,0.314997395109972
Melody-MT,skin,single track,0.3184637844695375
Melody-ST,CPG_units,related tracks,0.4549165217864653
Melody-ST,CPG_units,single track,0.3914665368844912
Melody-ST,EPIC,related tracks,0.2417900274534331
Melody-ST,EPIC,single track,0.2104886384677685
Melody-ST,GTEX_BreastMammaryTissue,related tracks,0.3660085766057341
Melody-ST,GTEX_BreastMammaryTissue,single track,0.3279988265385536
Melody-ST,GTEX_ColonTransverse,related tracks,0.4171295142293887
Melody-ST,GTEX_ColonTransverse,single track,0.3671969193489172
Melody-ST,GTEX_KidneyCortex,related tracks,0.3219340637414719
Melody-ST,GTEX_KidneyCortex,single track,0.3219340637414719
Melody-ST,GTEX_Lung,related tracks,0.413519972133634
Melody-ST,GTEX_Lung,single track,0.387006556169469
Melody-ST,GTEX_MuscleSkeletal,related tracks,0.3354823405895206
Melody-ST,GTEX_MuscleSkeletal,single track,0.3323939786115977
Melody-ST,GTEX_Ovary,related tracks,0.3628699854370321
Melody-ST,GTEX_Ovary,single track,0.3548469566659261
Melody-ST,GTEX_Prostate,related tracks,0.4779158356473601
Melody-ST,GTEX_Prostate,single track,0.4779158356473601
Melody-ST,GTEX_Testis,related tracks,0.2673017320202649
Melody-ST,GTEX_Testis,single track,0.2226262786550215
Melody-ST,GTEX_WholeBlood,related tracks,0.4251786219288568
Melody-ST,GTEX_WholeBlood,single track,0.360238009234425
Melody-ST,MDSs,related tracks,0.6059312785902595
Melody-ST,MDSs,single track,0.5336564691557929
Melody-ST,skin,related tracks,0.3101438062246104
Melody-ST,skin,single track,0.2985089609898337
