df_name,st_r,mt_r
GTEX_WholeBlood,0.4251786219288568,0.4236300726116341
EPIC,0.2417900274534331,0.248045554651884
CPG_units,0.4549165217864653,0.4622850154926412
MDSs,0.6059312785902595,0.6253201813424454
skin,0.3101438062246104,0.314997395109972
GTEX_BreastMammaryTissue,0.3660085766057341,0.3977465931072627
GTEX_ColonTransverse,0.4171295142293887,0.4290639301528088
GTEX_KidneyCortex,0.3219340637414719,0.3680664953111994
GTEX_Lung,0.413519972133634,0.4382879463238289
GTEX_MuscleSkeletal,0.3354823405895206,0.3700658648153684
GTEX_Ovary,0.3628699854370321,0.3996063520231283
GTEX_Prostate,0.4779158356473601,0.4716810349191206
GTEX_Testis,0.2673017320202649,0.272958566766437
