distance_window,model,meQTL_dataset,score
20,CpGenie,CPG_units,0.3482826526889941
20,CpGenie,EPIC,0.0712259686948279
20,CpGenie,GTEX_BreastMammaryTissue,0.2700307067749275
20,CpGenie,GTEX_ColonTransverse,0.2529682309339632
20,CpGenie,GTEX_KidneyCortex,0.2549144387534126
20,CpGenie,GTEX_Lung,0.2286244981889393
20,CpGenie,GTEX_MuscleSkeletal,0.1789505299496602
20,CpGenie,GTEX_Ovary,0.1744812808016824
20,CpGenie,GTEX_Prostate,0.1769206177381038
20,CpGenie,GTEX_Testis,0.2592465471542763
20,CpGenie,GTEX_WholeBlood,0.1697575066964744
20,CpGenie,MDSs,0.4095813197768833
20,CpGenie,skin,0.3097926660772002
20,INTERACT,CPG_units,0.4497838285383284
20,INTERACT,EPIC,0.3418582215461585
20,INTERACT,GTEX_BreastMammaryTissue,0.3392514294609382
20,INTERACT,GTEX_ColonTransverse,0.3502732334552513
20,INTERACT,GTEX_KidneyCortex,0.3473749589047624
20,INTERACT,GTEX_Lung,0.3040264961566561
20,INTERACT,GTEX_MuscleSkeletal,0.3345495834495561
20,INTERACT,GTEX_Ovary,0.2546016529745568
20,INTERACT,GTEX_Prostate,0.383118453017786
20,INTERACT,GTEX_Testis,0.2900120507373071
20,INTERACT,GTEX_WholeBlood,0.3455967378720547
20,INTERACT,MDSs,0.3588812594813585
20,INTERACT,skin,0.297450415236184
20,Melody-MT,CPG_units,0.6086208874741986
20,Melody-MT,EPIC,0.3129858482453021
20,Melody-MT,GTEX_BreastMammaryTissue,0.5596652234834588
20,Melody-MT,GTEX_ColonTransverse,0.5227487779625551
20,Melody-MT,GTEX_KidneyCortex,0.5388453507552321
20,Melody-MT,GTEX_Lung,0.537718914156886
20,Melody-MT,GTEX_MuscleSkeletal,0.5294561912001788
20,Melody-MT,GTEX_Ovary,0.4741361458648727
20,Melody-MT,GTEX_Prostate,0.6025302036173673
20,Melody-MT,GTEX_Testis,0.4773800312303153
20,Melody-MT,GTEX_WholeBlood,0.4836187777852784
20,Melody-MT,MDSs,0.4962755801041514
20,Melody-MT,skin,0.4062968691322409
20,IDNA-ABT,CPG_units,-0.0354045472211125
20,IDNA-ABT,EPIC,-0.33581144673897
20,IDNA-ABT,GTEX_BreastMammaryTissue,-0.0405104589952472
20,IDNA-ABT,GTEX_ColonTransverse,-0.0846331232178843
20,IDNA-ABT,GTEX_KidneyCortex,-0.0310355179326928
20,IDNA-ABT,GTEX_Lung,0.0170729054853081
20,IDNA-ABT,GTEX_MuscleSkeletal,-0.167966484320336
20,IDNA-ABT,GTEX_Ovary,-0.0828194528016996
20,IDNA-ABT,GTEX_Prostate,-0.1005655084308
20,IDNA-ABT,GTEX_Testis,0.0141124259532689
20,IDNA-ABT,GTEX_WholeBlood,-0.192646233378025
20,IDNA-ABT,MDSs,-0.0042246340118327
20,IDNA-ABT,skin,-0.00254262792960696
40,CpGenie,CPG_units,0.3237398636837746
40,CpGenie,EPIC,0.0802448362984915
40,CpGenie,GTEX_BreastMammaryTissue,0.2865156266957942
40,CpGenie,GTEX_ColonTransverse,0.2448400385121045
40,CpGenie,GTEX_KidneyCortex,0.2468050131301745
40,CpGenie,GTEX_Lung,0.2188644991258008
40,CpGenie,GTEX_MuscleSkeletal,0.1920702818453164
40,CpGenie,GTEX_Ovary,0.1721086152810923
40,CpGenie,GTEX_Prostate,0.2049417159687797
40,CpGenie,GTEX_Testis,0.2477687943889098
40,CpGenie,GTEX_WholeBlood,0.2019772320937911
40,CpGenie,MDSs,0.3465241914959347
40,CpGenie,skin,0.3195714310448311
40,INTERACT,CPG_units,0.4541090865879243
40,INTERACT,EPIC,0.3524822549035797
40,INTERACT,GTEX_BreastMammaryTissue,0.3800854967609386
