observed,predicted
0.53,0.3167426
0.51,-0.00020536597
0.732,-0.043057807
0.53,0.48033863
0.54,0.020373609
-0.72,-1.1521506
0.68,0.0007186569
-0.647,-0.078933924
-0.59,-0.4524148
-0.58,-0.15186727
0.55,1.120649
0.51,0.0005031191
0.51,0.17690173
0.71,0.41217163
-0.7,0.009292215
-0.58,0.0
0.51,0.2840907
-0.751,0.0
-0.56,-0.000542293
0.69,0.0033479482
0.627,0.00034437576
-0.58,-0.00093366206
0.56,0.0031524003
0.55,0.6027934
-0.51,-0.026676627
-0.7,-0.50910175
0.747,0.000300721
0.57,1.0175802
0.53,0.5265699
0.53,0.397451
-0.66,-0.65510356
-0.55,-0.0028585196
-0.52,-0.071417354
-0.69,-0.38707724
-0.58,-0.3212964
-0.54,-0.26659486
0.61,-0.0025486127
0.6,-0.04240243
0.61,0.79686385
-0.55,0.0
-0.74,-0.006320268
-0.53,0.0008627574
0.56,0.0
0.51,0.13554554
0.53,0.0
0.65,0.37653103
0.53,0.11489836
-0.55,-0.20399125
-0.72,-1.1100034
-0.51,0.00048166513
-0.61,0.0
0.59,0.0
-0.63,-0.0024520506
0.69,0.009097517
0.61,-0.11716383
0.58,-0.004281965
-0.53,0.009573649
0.731,0.0005498767
0.682,1.0264037
-0.55,-0.52247703
-0.54,-0.097354375
0.53,0.5994863
0.6,0.25000864
0.68,-0.071694255
-0.731,-0.9607504
0.613,0.0012778094
-0.7,0.0020494761
-0.63,0.007417393
-0.653,-0.0018663034
-0.66,-0.054998904
-0.54,-0.0038403273
0.631,0.0
-0.7,-0.1551793
0.56,0.00017983218
-0.75,0.0009180427
0.56,0.13624509
-0.69,-0.33839723
-0.53,-0.4155473
-0.54,-0.0022307138
-0.6,-0.40379804
-0.8,0.0013649265
-0.6,-0.10794989
0.695,0.26674506
0.54,0.19064458
0.6,0.001108557
0.532,0.35936153
-0.58,-0.5251913
0.766,-0.017277062
0.623,0.85828245
-0.61,-0.25161952
0.56,0.009925503
0.793,0.0
-0.56,-0.918305
0.53,0.28000498
-0.56,-0.6980172
0.7,0.0
0.6,-0.0041286447
0.54,0.8798554
-0.55,0.0
-0.53,-0.00031760335
0.65,0.92855996
0.69,0.985664
-0.6,0.0019325813
-0.54,-0.079447865
-0.51,0.018164396
-0.64,0.0
0.52,-0.0006049894
0.71,0.5819836
0.51,0.25612622
-0.777,-0.00074411434
0.54,0.71856254
-0.52,-0.52534086
0.58,0.0006464885
0.81,1.3544312
0.58,0.28012595
0.59,7.6362325e-05
0.784,0.21725546
-0.54,-9.198983e-06
0.52,0.43243426
-0.701,-0.646073
0.7,0.6922187
-0.53,-0.13039422
-0.6,-0.000465552
0.64,0.98713917
-0.54,0.0015804371
0.56,0.45855215
0.54,-0.062773354
0.59,1.3427423
-0.58,-0.44339696
0.54,-0.0004530445
0.54,0.18880506
0.7,0.5905338
0.62,0.26402897
0.822,0.021245109
0.674,0.000777663
-0.712,-0.004821899
-0.54,0.38353688
0.61,0.79765654
-0.711,0.001987179
-0.58,-0.01676027
0.54,-0.00012296865
0.57,0.045141894
0.57,0.54930407
0.72,0.39136782
-0.65,-0.001542603
0.54,0.0006779705
-0.69,-0.15980749
-0.55,-9.213388e-05
0.55,0.0
0.53,0.0
-0.731,-0.19066067
0.56,0.17921445
-0.618,-0.47360542
-0.61,0.008035004
-0.53,-0.8905182
-0.837,0.0025760531
-0.603,-0.8056734
-0.55,0.0014073253
-0.72,-0.0007057786
-0.52,-0.8547256
-0.56,-0.2799595
-0.61,0.009146273
0.63,0.91700375
-0.56,-0.032853425
0.587,0.61772907
-0.63,-0.35301456
-0.74,-0.9475789
0.52,0.0
0.58,-0.005067695
0.52,0.26289207
-0.53,-0.24038245
-0.704,-0.269822
-0.8,-0.41348168
0.55,0.51480377
0.54,0.8804893
0.55,0.57499415
-0.51,-0.06877383
0.77,0.0033289583
-0.58,-0.20762508
-0.76,-0.059028797
0.57,0.24896081
-0.66,-0.37005532
-0.834,0.0
-0.62,-0.49571842
0.81,-0.010467741
0.58,0.28833956
0.52,0.17739889
-0.56,0.0012582348
-0.74,-0.00016258161
-0.593,0.0
0.6,0.036759123
-0.51,-0.20542327
0.56,0.44770655
-0.68,-1.1674529
-0.55,-0.0037591034
-0.58,-0.4630023
-0.58,-0.48882073
-0.61,-0.00051548163
-0.53,0.001742228
0.51,0.46026823
0.58,0.0015967041
0.7,-0.0035911733
0.52,0.0
0.772,-0.007236555
0.713,0.91466737
-0.55,0.0074872673
0.57,0.5077177
0.6,0.0019085765
-0.516,-0.3329712
0.53,0.22436579
-0.53,0.0013691485
-0.51,-0.014901817
-0.76,-0.29332238
0.64,0.95830286
0.57,0.50406075
0.62,-0.00027409848
-0.789,0.0038187392
0.73,0.8221386
-0.52,-0.001882712
-0.58,-0.54050434
0.706,0.75847167
-0.53,-0.6593588
-0.821,0.0
-0.56,-0.00013530254
0.52,0.21476708
-0.61,-0.4144508
-0.61,-0.11879175
0.61,-0.009308398
0.51,0.73636824
