src_dataset,tgt_dataset,n_points,pearson_r
GTEX_WholeBlood,GTEX_WholeBlood,1334,0.4158418865472923
GTEX_WholeBlood,GTEX_BreastMammaryTissue,840,0.3404534002775019
GTEX_WholeBlood,GTEX_ColonTransverse,3720,0.4090262063482722
GTEX_WholeBlood,GTEX_KidneyCortex,1153,0.3215152562477931
GTEX_WholeBlood,GTEX_Lung,3016,0.4456263973528163
GTEX_WholeBlood,GTEX_MuscleSkeletal,631,0.2403363457540465
GTEX_WholeBlood,GTEX_Ovary,1020,0.3614149349989729
GTEX_WholeBlood,GTEX_Prostate,226,0.3863872534143178
GTEX_BreastMammaryTissue,GTEX_WholeBlood,1334,0.3075884005859896
GTEX_BreastMammaryTissue,GTEX_BreastMammaryTissue,840,0.3820485228572639
GTEX_BreastMammaryTissue,GTEX_ColonTransverse,3720,0.4075631774318445
GTEX_BreastMammaryTissue,GTEX_KidneyCortex,1153,0.3471296208554726
GTEX_BreastMammaryTissue,GTEX_Lung,3016,0.4228846388449093
GTEX_BreastMammaryTissue,GTEX_MuscleSkeletal,631,0.307821091306149
GTEX_BreastMammaryTissue,GTEX_Ovary,1020,0.4188372670400123
GTEX_BreastMammaryTissue,GTEX_Prostate,226,0.4765606472700188
GTEX_ColonTransverse,GTEX_WholeBlood,1334,0.3156733509600983
GTEX_ColonTransverse,GTEX_BreastMammaryTissue,840,0.3658329440915531
GTEX_ColonTransverse,GTEX_ColonTransverse,3720,0.4317220674399911
GTEX_ColonTransverse,GTEX_KidneyCortex,1153,0.3607492154913146
GTEX_ColonTransverse,GTEX_Lung,3016,0.4254515349939141
GTEX_ColonTransverse,GTEX_MuscleSkeletal,631,0.2648527400542567
GTEX_ColonTransverse,GTEX_Ovary,1020,0.4115284776121781
GTEX_ColonTransverse,GTEX_Prostate,226,0.4794645440509287
GTEX_KidneyCortex,GTEX_WholeBlood,1334,0.3382518997638461
GTEX_KidneyCortex,GTEX_BreastMammaryTissue,840,0.3636224461365113
GTEX_KidneyCortex,GTEX_ColonTransverse,3720,0.4217878419027765
GTEX_KidneyCortex,GTEX_KidneyCortex,1153,0.3598814621671141
GTEX_KidneyCortex,GTEX_Lung,3016,0.4431123640001805
GTEX_KidneyCortex,GTEX_MuscleSkeletal,631,0.2758081348795146
GTEX_KidneyCortex,GTEX_Ovary,1020,0.4262918589127762
GTEX_KidneyCortex,GTEX_Prostate,226,0.4241327671548276
GTEX_Lung,GTEX_WholeBlood,1334,0.3062632580892949
GTEX_Lung,GTEX_BreastMammaryTissue,840,0.3767414271581617
GTEX_Lung,GTEX_ColonTransverse,3720,0.4155802123082595
GTEX_Lung,GTEX_KidneyCortex,1153,0.3478434074558545
GTEX_Lung,GTEX_Lung,3016,0.4297883898090585
GTEX_Lung,GTEX_MuscleSkeletal,631,0.2589030514095566
GTEX_Lung,GTEX_Ovary,1020,0.3890595008299196
GTEX_Lung,GTEX_Prostate,226,0.4926202808855084
GTEX_MuscleSkeletal,GTEX_WholeBlood,1334,0.3187478300133326
GTEX_MuscleSkeletal,GTEX_BreastMammaryTissue,840,0.3856692303869142
GTEX_MuscleSkeletal,GTEX_ColonTransverse,3720,0.426196070789624
GTEX_MuscleSkeletal,GTEX_KidneyCortex,1153,0.3569855464889989
GTEX_MuscleSkeletal,GTEX_Lung,3016,0.4208317778441746
GTEX_MuscleSkeletal,GTEX_MuscleSkeletal,631,0.3197370840042339
GTEX_MuscleSkeletal,GTEX_Ovary,1020,0.4515047879031439
GTEX_MuscleSkeletal,GTEX_Prostate,226,0.4357504476399955
GTEX_Ovary,GTEX_WholeBlood,1334,0.2851927608918308
GTEX_Ovary,GTEX_BreastMammaryTissue,840,0.3772279284854448
GTEX_Ovary,GTEX_ColonTransverse,3720,0.4109509086767502
GTEX_Ovary,GTEX_KidneyCortex,1153,0.3598784658538118
GTEX_Ovary,GTEX_Lung,3016,0.413544898559798
GTEX_Ovary,GTEX_MuscleSkeletal,631,0.2752358513630949
GTEX_Ovary,GTEX_Ovary,1020,0.402343295159474
GTEX_Ovary,GTEX_Prostate,226,0.4567252302699366
GTEX_Prostate,GTEX_WholeBlood,1334,0.3052665934744138
GTEX_Prostate,GTEX_BreastMammaryTissue,840,0.3790538203872677
GTEX_Prostate,GTEX_ColonTransverse,3720,0.4127450122493392
GTEX_Prostate,GTEX_KidneyCortex,1153,0.3435795477728358
GTEX_Prostate,GTEX_Lung,3016,0.4179708749968509
GTEX_Prostate,GTEX_MuscleSkeletal,631,0.2765282987270085
GTEX_Prostate,GTEX_Ovary,1020,0.3930201380197161
GTEX_Prostate,GTEX_Prostate,226,0.4749610082245785
