ckpt_step,meQTL_Dataset,n_points,pearson_r
1000000,GTEX_WholeBlood,1334,0.4236300726116341
1000000,EPIC,1002,0.248045554651884
1000000,CPG_units,8706,0.4622850154926412
1000000,MDSs,524,0.6253201813424454
1000000,skin,431,0.314997395109972
1000000,GTEX_BreastMammaryTissue,840,0.3977465931072627
1000000,GTEX_ColonTransverse,3720,0.4290639301528088
1000000,GTEX_KidneyCortex,1153,0.3680664953111994
1000000,GTEX_Lung,3016,0.4382879463238289
1000000,GTEX_MuscleSkeletal,631,0.3700658648153684
1000000,GTEX_Ovary,1020,0.3996063520231283
1000000,GTEX_Prostate,226,0.4716810349191206
1000000,GTEX_Testis,1571,0.272958566766437
200000,GTEX_WholeBlood,1334,0.3853573143434613
200000,EPIC,1002,0.2229496654337566
200000,CPG_units,8706,0.4150945232430191
200000,MDSs,524,0.5560622585816909
200000,skin,431,0.2770357315285183
200000,GTEX_BreastMammaryTissue,840,0.3339139408075355
200000,GTEX_ColonTransverse,3720,0.4116716092906236
200000,GTEX_KidneyCortex,1153,0.3526984681552204
200000,GTEX_Lung,3016,0.4015606818892245
200000,GTEX_MuscleSkeletal,631,0.2911904244919601
200000,GTEX_Ovary,1020,0.3920480905414079
200000,GTEX_Prostate,226,0.484758043543408
200000,GTEX_Testis,1571,0.2691332813447105
250000,GTEX_WholeBlood,1334,0.3911049602867863
250000,EPIC,1002,0.2203590532572477
250000,CPG_units,8706,0.4256974896184538
250000,MDSs,524,0.5632745668001679
250000,skin,431,0.3092330081361564
250000,GTEX_BreastMammaryTissue,840,0.3433578112281841
250000,GTEX_ColonTransverse,3720,0.4171413554642438
250000,GTEX_KidneyCortex,1153,0.3475864983358114
250000,GTEX_Lung,3016,0.4116122963677364
250000,GTEX_MuscleSkeletal,631,0.2933189248977625
250000,GTEX_Ovary,1020,0.3851482692564549
250000,GTEX_Prostate,226,0.4899359881203308
250000,GTEX_Testis,1571,0.2645900593726679
300000,GTEX_WholeBlood,1334,0.4143357140729662
300000,EPIC,1002,0.2265116592990604
300000,CPG_units,8706,0.4384284252936784
300000,MDSs,524,0.5842277278462339
300000,skin,431,0.2985838542281018
300000,GTEX_BreastMammaryTissue,840,0.3570093538889179
300000,GTEX_ColonTransverse,3720,0.4155376620471501
300000,GTEX_KidneyCortex,1153,0.3591373951515176
300000,GTEX_Lung,3016,0.4142258934771796
300000,GTEX_MuscleSkeletal,631,0.3296802250744802
300000,GTEX_Ovary,1020,0.3989411744899649
300000,GTEX_Prostate,226,0.4691935452441688
300000,GTEX_Testis,1571,0.2712020793501463
500000,GTEX_WholeBlood,1334,0.4164011002156965
500000,EPIC,1002,0.2339029511191818
500000,CPG_units,8706,0.4559241330768758
500000,MDSs,524,0.6208880704563879
500000,skin,431,0.3270749559949183
500000,GTEX_BreastMammaryTissue,840,0.3715698632180991
500000,GTEX_ColonTransverse,3720,0.4180383132201342
500000,GTEX_KidneyCortex,1153,0.3611801787022121
500000,GTEX_Lung,3016,0.4215556178657116
500000,GTEX_MuscleSkeletal,631,0.3079537175271496
500000,GTEX_Ovary,1020,0.3932603755947739
500000,GTEX_Prostate,226,0.4750345251332304
500000,GTEX_Testis,1571,0.2727162281896695
750000,GTEX_WholeBlood,1334,0.4241533300855868
750000,EPIC,1002,0.2462621418315894
750000,CPG_units,8706,0.456099517359634
750000,MDSs,524,0.6214318408886143
750000,skin,431,0.3409925630735781
750000,GTEX_BreastMammaryTissue,840,0.3902091516262984
750000,GTEX_ColonTransverse,3720,0.4274621156319309
750000,GTEX_KidneyCortex,1153,0.3680954145578425
750000,GTEX_Lung,3016,0.4332407218698625
750000,GTEX_MuscleSkeletal,631,0.3469906266221101
750000,GTEX_Ovary,1020,0.3944784715964198
750000,GTEX_Prostate,226,0.4854866044015936
750000,GTEX_Testis,1571,0.2756538614660652
