motif,strength,specificity
HD/1,0.05989378,0.009347301
HD/2,0.18200883,0.023622274
HD/3,0.09819209,0.017853638
HD/4,0.09463246,0.011145302
HD/5,0.17056692,0.029072927
HD/6,0.03566688,0.008914456
HD/7,0.21659873,0.024981625
HD/8,0.06937158,0.009441135
HD/9,0.14783373,0.029058514
HD/10,0.8695558,0.25773856
HD/11,0.13948137,0.019715326
HD/12,0.070422664,0.013548741
NFY,0.082040615,0.008363345
CUX/1,0.26412606,0.062266767
CUX/3,0.21328732,0.03135301
CUX/2,0.12420111,0.013559597
CUX/4,0.14044562,0.034660514
HD/13,0.046838023,0.009522199
HD/14,0.1259913,0.028103074
HD/15,0.09394399,0.017456347
HD/16,0.21538661,0.03686668
HD/17,0.20461637,0.023906635
CPEB1,0.13033652,0.013532419
HD/18,0.3114705,0.025146892
HD/19,0.092380844,0.011396015
HD/20,0.048074674,0.006205096
HD/21,0.05615745,0.007231175
HD/22,0.22467764,0.01638796
TCF/LEF,0.054741297,0.010843854
NR/1,0.73521036,0.18004762
NR/2,0.09259131,0.012410426
NR/3,0.28699473,0.04835989
NR/4,0.15270478,0.027961822
NR/5,0.13378294,0.01962511
NR/6,0.21844816,0.035774972
NR/7,0.26684308,0.03814588
NR/8,0.1101062,0.01879108
NR/9,0.21235679,0.030360889
NR/10,0.118474014,0.027057823
NR/11,0.3205409,0.052397054
NR/12,0.2782422,0.04406098
NR/13,0.3939446,0.058397915
NR/14,0.06639937,0.009184866
NR/15,0.15499239,0.01975585
NR/16,0.2160189,0.028716331
NR/17,0.14419566,0.025248663
NR/18,0.17270319,0.026411448
NR/19,0.1985325,0.032804012
CREB/ATF/1,0.07651755,0.0061753727
CREB/ATF/2,0.12747468,0.014245493
CREB/ATF/3,0.35222796,0.028362604
CCAAT/CEBP,0.3984406,0.0357068
AP1/2,0.38041347,0.035915665
AP1/1,0.26374182,0.038087502
MAF,0.19144338,0.017009089
ZNF317,0.07386491,0.011687217
ZNF547,0.08639666,0.010520056
Ebox/CACGTG/1,0.16281612,0.016897477
Ebox/CACGTG/2,0.03249548,0.0060795187
HIF,0.06055829,0.008013678
CREB3/XBP1,0.04652359,0.011601259
Ebox/CATATG,0.10414922,0.017594745
Ebox/CAGATGG,0.10431185,0.02436292
HEN1,0.06521838,0.01985668
Ebox/CAGCTG,0.11235659,0.024689654
SCRT1,0.113341056,0.022939516
SNAI2,0.17547089,0.0417831
Ebox/CACCTG,0.092832334,0.018931704
MIES,0.12225509,0.012636564
TBX/1,0.07381536,0.008868674
TBX/2,0.14847617,0.040272415
TBX/3,0.060851946,0.009412595
TBX/4,0.032804176,0.008218533
SREBF1,0.040089678,0.008461573
ZNF257,0.033139206,0.005850428
FOX/1,0.0318861,0.003230981
FOX/2,0.22223619,0.05157129
FOX/3,0.124029174,0.026441893
