motif,position,Heart-Cardiomyocyte,Liver-Hepatocytes,Kidney-Tubular,Blood-T,Blood-Monocytes,Pancreas-Beta
RFX/2,-600,-0.010687955,-0.013145927,-0.009785458,-0.009972794,-0.008295579,-0.018660648
RFX/2,-595,-0.010646542,-0.0132258525,-0.009562926,-0.009541712,-0.007852144,-0.019090926
RFX/2,-590,-0.010161383,-0.012984323,-0.009173391,-0.009475833,-0.0077887764,-0.01908034
RFX/2,-585,-0.009934557,-0.012835127,-0.008709794,-0.009257003,-0.007431266,-0.01976287
RFX/2,-580,-0.0098084,-0.012825641,-0.008579211,-0.009294671,-0.0073894453,-0.020201266
RFX/2,-575,-0.009645434,-0.012617038,-0.008219341,-0.008927855,-0.0071151285,-0.02052845
RFX/2,-570,-0.009529812,-0.013246661,-0.008012702,-0.008779251,-0.007009638,-0.021547077
RFX/2,-565,-0.009812135,-0.01323569,-0.008319574,-0.008687372,-0.007079073,-0.022412067
RFX/2,-560,-0.009770705,-0.0136195645,-0.008180735,-0.008687707,-0.0071963463,-0.023443434
RFX/2,-555,-0.0102041615,-0.013865163,-0.008877396,-0.009351931,-0.008101895,-0.024319336
RFX/2,-550,-0.010525291,-0.014563331,-0.0093049,-0.00979655,-0.008691819,-0.02585836
RFX/2,-545,-0.010703621,-0.014663164,-0.009297759,-0.009745584,-0.008732568,-0.0266226
RFX/2,-540,-0.010993443,-0.0145696765,-0.009300332,-0.00982767,-0.008876995,-0.027393652
RFX/2,-535,-0.011132529,-0.014947003,-0.009033733,-0.009559561,-0.008479847,-0.028215997
RFX/2,-530,-0.0112380935,-0.014702212,-0.008859203,-0.009551828,-0.008715195,-0.028943151
RFX/2,-525,-0.011296338,-0.01527346,-0.008962577,-0.0099858735,-0.009151052,-0.030008659
RFX/2,-520,-0.011282515,-0.015249527,-0.008778055,-0.0098233875,-0.008939504,-0.030625155
RFX/2,-515,-0.011774783,-0.015701449,-0.009335552,-0.01027091,-0.00979667,-0.031013938
