model,track,split,metric,value
Melody-G1,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,AUC,0.919099076
Melody-G1,GSM5652176_Adipocytes-Z000000T7,SAMPLE_TEST,AUC,0.924012478
Melody-G1,GSM5652176_Adipocytes-Z000000T7,VALID,AUC,0.908226151
Melody-G1,GSM5652176_Adipocytes-Z000000T7,TEST,AUC,0.90962181
Melody-G1,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_VALID,AUC,0.90624444
Melody-G1,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,SAMPLE_TEST,AUC,0.914339185
Melody-G1,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,AUC,0.906773445
Melody-G1,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,AUC,0.90564295
Melody-G1,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_VALID,AUC,0.922056399
Melody-G1,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_TEST,AUC,0.924575481
Melody-G1,GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,AUC,0.905854318
Melody-G1,GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,AUC,0.905536702
Melody-G1,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_VALID,AUC,0.882286502
Melody-G1,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_TEST,AUC,0.888598127
Melody-G1,GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,AUC,0.859858722
Melody-G1,GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,AUC,0.858610435
Melody-G1,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_VALID,AUC,0.902609447
Melody-G1,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_TEST,AUC,0.917683556
Melody-G1,GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,AUC,0.894075192
Melody-G1,GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,AUC,0.893768618
Melody-G1,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_VALID,AUC,0.89505253
Melody-G1,GSM5652205_Skeletal-Muscle-Z00000427,SAMPLE_TEST,AUC,0.903649288
Melody-G1,GSM5652205_Skeletal-Muscle-Z00000427,VALID,AUC,0.893371881
Melody-G1,GSM5652205_Skeletal-Muscle-Z00000427,TEST,AUC,0.89671627
Melody-G1,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_VALID,AUC,0.900259201
Melody-G1,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,SAMPLE_TEST,AUC,0.904826081
Melody-G1,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,AUC,0.878470455
Melody-G1,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,AUC,0.875543279
Melody-G1,GSM5652215_Heart-Cardiomyocyte-Z0000044P,SAMPLE_VALID,AUC,0.868503295
