model,track,split,metric,value
iDNA-ABT,Adipocytes,VALID,Pearson,0.4873094889344325
iDNA-ABT,Adipocytes,VALID,Spearman,0.3880451778002946
iDNA-ABT,Adipocytes,VALID,AUC,0.7454914127135536
iDNA-ABT,Adipocytes,TEST,Pearson,0.4893482859777661
iDNA-ABT,Adipocytes,TEST,Spearman,0.3920112402713392
iDNA-ABT,Adipocytes,TEST,AUC,0.7514980727503662
iDNA-ABT,Aorta-Endothel,VALID,Pearson,0.4694223333338949
iDNA-ABT,Aorta-Endothel,VALID,Spearman,0.3818527130174718
iDNA-ABT,Aorta-Endothel,VALID,AUC,0.7412935243784368
iDNA-ABT,Aorta-Endothel,TEST,Pearson,0.4677905666234511
iDNA-ABT,Aorta-Endothel,TEST,Spearman,0.3744817363661716
iDNA-ABT,Aorta-Endothel,TEST,AUC,0.7427277809940388
iDNA-ABT,Aorta-Smooth-Muscle,VALID,Pearson,0.3058698336705832
iDNA-ABT,Aorta-Smooth-Muscle,VALID,Spearman,0.2231215926287423
iDNA-ABT,Aorta-Smooth-Muscle,VALID,AUC,0.6205834828513506
iDNA-ABT,Aorta-Smooth-Muscle,TEST,Pearson,0.2954101237824112
iDNA-ABT,Aorta-Smooth-Muscle,TEST,Spearman,0.2242804657876085
iDNA-ABT,Aorta-Smooth-Muscle,TEST,AUC,0.6209614459770412
iDNA-ABT,Bladder-Epithelial,VALID,Pearson,0.4693420333102279
iDNA-ABT,Bladder-Epithelial,VALID,Spearman,0.4004332462368538
iDNA-ABT,Bladder-Epithelial,VALID,AUC,0.7447201519161953
iDNA-ABT,Bladder-Epithelial,TEST,Pearson,0.4750515329138886
iDNA-ABT,Bladder-Epithelial,TEST,Spearman,0.398649538479575
iDNA-ABT,Bladder-Epithelial,TEST,AUC,0.7463066712384744
iDNA-ABT,Blood-B,VALID,Pearson,0.4456853202819308
iDNA-ABT,Blood-B,VALID,Spearman,0.262053381125598
iDNA-ABT,Blood-B,VALID,AUC,0.7294128793404583
iDNA-ABT,Blood-B,TEST,Pearson,0.4427174705753396
iDNA-ABT,Blood-B,TEST,Spearman,0.2584941545252553
iDNA-ABT,Blood-B,TEST,AUC,0.7331577561913086
iDNA-ABT,Blood-Granulocytes,VALID,Pearson,0.5022847170996807
iDNA-ABT,Blood-Granulocytes,VALID,Spearman,0.3227803419310377
iDNA-ABT,Blood-Granulocytes,VALID,AUC,0.7677150670085982
iDNA-ABT,Blood-Granulocytes,TEST,Pearson,0.504418396189202
iDNA-ABT,Blood-Granulocytes,TEST,Spearman,0.3219939682061906
iDNA-ABT,Blood-Granulocytes,TEST,AUC,0.7715737066740938
iDNA-ABT,Blood-Monocytes,VALID,Pearson,0.4220332469518991
iDNA-ABT,Blood-Monocytes,VALID,Spearman,0.0792514682462155
iDNA-ABT,Blood-Monocytes,VALID,AUC,0.6975137806335798
iDNA-ABT,Blood-Monocytes,TEST,Pearson,0.4215449458180243
iDNA-ABT,Blood-Monocytes,TEST,Spearman,0.0748964336241533
iDNA-ABT,Blood-Monocytes,TEST,AUC,0.707292062551657
iDNA-ABT,Blood-NK,VALID,Pearson,0.4599280700615706
iDNA-ABT,Blood-NK,VALID,Spearman,0.2511290816405551
iDNA-ABT,Blood-NK,VALID,AUC,0.7330333298486885
iDNA-ABT,Blood-NK,TEST,Pearson,0.4561649093572647
iDNA-ABT,Blood-NK,TEST,Spearman,0.2438520214632575
iDNA-ABT,Blood-NK,TEST,AUC,0.7378551299396046
iDNA-ABT,Blood-T-CD3,VALID,Pearson,0.4161719837890391
iDNA-ABT,Blood-T-CD3,VALID,Spearman,0.1725998591032106
iDNA-ABT,Blood-T-CD3,VALID,AUC,0.6867474499144085
iDNA-ABT,Blood-T-CD3,TEST,Pearson,0.4034380378034422
iDNA-ABT,Blood-T-CD3,TEST,Spearman,0.1605187484561445
iDNA-ABT,Blood-T-CD3,TEST,AUC,0.6843628683211745
iDNA-ABT,Bone-Osteoblasts,VALID,Pearson,0.4912874341580746
iDNA-ABT,Bone-Osteoblasts,VALID,Spearman,0.4572042109233949
iDNA-ABT,Bone-Osteoblasts,VALID,AUC,0.7474759607180981
iDNA-ABT,Bone-Osteoblasts,TEST,Pearson,0.4861393212567349
iDNA-ABT,Bone-Osteoblasts,TEST,Spearman,0.4503978351736236
iDNA-ABT,Bone-Osteoblasts,TEST,AUC,0.7461713933050561
iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,VALID,Pearson,0.4967774413582503
iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,VALID,Spearman,0.4762649104895566
iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,VALID,AUC,0.7572462682360013
