alpha_beta,track,split,metric,value
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,VALID,Pearson,0.8225373591737711
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,VALID,Spearman,0.7038022514463533
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,VALID,AUC,0.9111983882846572
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,VALID,Accuracy,0.9095414837446607
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,VALID,MAE,0.1048850298226955
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,VALID,Pearson,0.794102631229597
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,VALID,Spearman,0.7149172569731792
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,VALID,AUC,0.9004581247100397
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,VALID,Accuracy,0.8864964458673988
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,VALID,MAE,0.1199172399701267
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,Pearson,0.8060267921111418
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,Spearman,0.6396607649516771
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,AUC,0.9104375755116316
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,Accuracy,0.9199273969614173
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,MAE,0.1076488148696438
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,Pearson,0.8211437507468275
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,Spearman,0.7448981584140117
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,AUC,0.9071596479283972
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,Accuracy,0.9105750229341326
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,MAE,0.1008230527387237
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,Pearson,0.7371806709625297
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,Spearman,0.7032191664925288
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,AUC,0.8657737012630801
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,Accuracy,0.7873692931726131
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,MAE,0.1658498546952555
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,Pearson,0.7941736623975375
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,Spearman,0.711062940447387
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,AUC,0.8985766188163946
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,Accuracy,0.8883840767110379
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,MAE,0.1177118156667256
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,VALID,Pearson,0.8063227688646644
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,VALID,Spearman,0.6938956643051919
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,VALID,AUC,0.8980733162507064
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,VALID,Accuracy,0.9024481080544244
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,VALID,MAE,0.1089972922982271
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,Pearson,0.7743391339951258
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,Spearman,0.7347770988654748
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,AUC,0.8837241409145572
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,Accuracy,0.8220560410181122
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,MAE,0.1362450974701545
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,Pearson,0.7189609846182059
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,Spearman,0.5280136850238365
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,AUC,0.8680086707390967
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,Accuracy,0.8885721149270035
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,MAE,0.1557559155700024
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,Pearson,0.7808014387651709
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,Spearman,0.7326295286076193
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,AUC,0.8894992823111184
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,Accuracy,0.8396598720075847
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,MAE,0.1371825564260399
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,VALID,Pearson,0.8092548854388609
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,VALID,Spearman,0.5988114490410598
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,VALID,AUC,0.9131665279296777
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,VALID,Accuracy,0.9249638884527142
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,VALID,MAE,0.1009796439977266
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,VALID,Pearson,0.8310052811705674
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,VALID,Spearman,0.6278226071859209
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,VALID,AUC,0.9176025446265579
