config,track,split,metric,value
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,VALID,Pearson,0.814693963600013
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,VALID,Spearman,0.6931690947575546
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,VALID,AUC,0.9115251326675305
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,VALID,Accuracy,0.8997767857142858
with CpG-count loss,GSM5652176_Adipocytes-Z000000T7,VALID,MAE,0.1184963407997985
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,VALID,Pearson,0.7805713421282306
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,VALID,Spearman,0.6929687845118245
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,VALID,AUC,0.9008223475571729
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,VALID,Accuracy,0.870020822939778
with CpG-count loss,GSM5652179_Aorta-Endothel-Z00000422,VALID,MAE,0.1370080812457641
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,Pearson,0.7964522491414321
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,Spearman,0.6220141286593096
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,AUC,0.9120538538634563
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,Accuracy,0.9108449675794486
with CpG-count loss,GSM5652189_Kidney-Tubular-Endothel-Z0000042R,VALID,MAE,0.1239013989899369
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,Pearson,0.812647113980626
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,Spearman,0.7237694449607873
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,AUC,0.9087361398418262
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,Accuracy,0.8997876510339425
with CpG-count loss,GSM5652198_Colon-Fibroblasts-Z0000042A,VALID,MAE,0.1154154011700526
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,Pearson,0.718086356106057
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,Spearman,0.6877975867109524
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,AUC,0.8592579338513424
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,Accuracy,0.7691777166214198
with CpG-count loss,GSM5652200_Heart-Fibroblasts-Z0000043R,VALID,MAE,0.1788107210549376
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,Pearson,0.7823588314247312
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,Spearman,0.6905855403610122
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,AUC,0.8982909353509675
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,Accuracy,0.875487166798652
with CpG-count loss,GSM5652204_Dermal-Fibroblasts-Z00000423,VALID,MAE,0.1318915552254542
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,VALID,Pearson,0.7980038101678554
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,VALID,Spearman,0.6806724362572562
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,VALID,AUC,0.8995577245949722
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,VALID,Accuracy,0.8938218086249653
with CpG-count loss,GSM5652205_Skeletal-Muscle-Z00000427,VALID,MAE,0.1250138488903549
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,Pearson,0.7579855460164407
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,Spearman,0.7169647388076792
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,AUC,0.8782051376723302
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,Accuracy,0.8024086819401762
with CpG-count loss,GSM5652207_Aorta-Smooth-Muscle-Z0000041U,VALID,MAE,0.1483238986057075
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,Pearson,0.7061357029359967
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,Spearman,0.5271407583832448
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,AUC,0.8686738667056818
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,Accuracy,0.8756660940561823
with CpG-count loss,GSM5652215_Heart-Cardiomyocyte-Z0000044P,VALID,MAE,0.1830853333931836
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,Pearson,0.7659359093285507
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,Spearman,0.7113812429548247
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,AUC,0.8860423057045698
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,Accuracy,0.8210876392510074
with CpG-count loss,GSM5652218_Bone-Osteoblasts-Z0000042Z,VALID,MAE,0.1515515926040795
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,VALID,Pearson,0.8002469769988021
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,VALID,Spearman,0.582453966317702
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,VALID,AUC,0.9140681128250191
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,VALID,Accuracy,0.9178145090652821
with CpG-count loss,GSM5652219_Oligodendrocytes-Z000000TK,VALID,MAE,0.1214612579584693
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,VALID,Pearson,0.8248429163514834
with CpG-count loss,GSM5652223_Cortex-Neuron-Z000000TF,VALID,Spearman,0.6140713799665468
