model,meQTL_dataset,pearson_r_of_absolute_effect_sizes,directional_consistency,n_points
Melody-MT,EPIC,0.224012972052415,0.6847826086956522,368
Melody-MT,GTEX_BreastMammaryTissue,0.2424360758038234,0.7606490872210954,493
Melody-MT,GTEX_ColonTransverse,0.2825758610864131,0.7600590623846438,2709
Melody-MT,GTEX_KidneyCortex,0.197212021594,0.6991279069767442,688
Melody-MT,GTEX_Lung,0.2463790670924941,0.7372392365734576,2253
Melody-MT,GTEX_MuscleSkeletal,0.1798332466597839,0.7391304347826086,345
Melody-MT,GTEX_Ovary,0.261780924440652,0.6760204081632653,784
Melody-MT,GTEX_Prostate,0.2389775440385826,0.71875,160
Melody-MT,GTEX_Testis,0.2525511086968789,0.6495327102803738,856
Melody-MT,GTEX_WholeBlood,0.2420821629194073,0.7811704834605598,786
Melody-MT,MDSs,0.2244102867859682,0.8677685950413223,385
Melody-MT,skin,0.1834350852776777,0.708029197080292,274
INTERACT,GTEX_WholeBlood,0.1912793787168214,0.721058434399118,907
INTERACT,GTEX_Testis,0.1226036473037809,0.6124634858812074,1027
INTERACT,GTEX_KidneyCortex,0.1270757176149075,0.6268656716417911,804
INTERACT,GTEX_Prostate,0.2804438730712329,0.6388888888888888,180
INTERACT,GTEX_ColonTransverse,0.2228860014769542,0.7199599465954606,2996
INTERACT,GTEX_MuscleSkeletal,0.1196823552627877,0.6507177033492823,418
INTERACT,GTEX_Lung,0.1699424625249073,0.7002012072434608,2485
INTERACT,GTEX_Ovary,0.2029110253801713,0.6357388316151202,873
INTERACT,GTEX_BreastMammaryTissue,0.1296256477984218,0.6859649122807018,570
INTERACT,EPIC,0.1927828072100264,0.6571428571428571,490
INTERACT,skin,0.1751518281892032,0.719626168224299,321
INTERACT,MDSs,0.1595048008234753,0.8391959798994975,424
CpGenie,GTEX_WholeBlood,0.14303731427286,0.6984732824427481,786
CpGenie,GTEX_Testis,0.0543052832055566,0.6016355140186916,856
CpGenie,GTEX_KidneyCortex,0.06119307490808641,0.5872093023255814,688
CpGenie,GTEX_Prostate,0.0408425480291842,0.58125,160
CpGenie,GTEX_ColonTransverse,0.1520458927427661,0.6489479512735327,2709
CpGenie,GTEX_MuscleSkeletal,0.1006368158922623,0.6318840579710145,345
CpGenie,GTEX_Lung,0.08904488995956239,0.6338215712383488,2253
CpGenie,GTEX_Ovary,0.1482632823333314,0.6173469387755102,784
CpGenie,GTEX_BreastMammaryTissue,0.1540775585068833,0.6592292089249493,493
CpGenie,EPIC,0.08886554804322395,0.6059782608695652,368
CpGenie,skin,0.2056056226412654,0.6386861313868614,274
CpGenie,MDSs,0.1395576470214865,0.8319559228650137,385
iDNA-ABT,GTEX_WholeBlood,-0.00553469592844907,0.4444444444444444,261
iDNA-ABT,GTEX_Testis,-0.02565772894534458,0.5419161676646707,334
iDNA-ABT,GTEX_KidneyCortex,-0.06507912793724523,0.48,225
iDNA-ABT,GTEX_Prostate,0.01261079450682476,0.5,78
iDNA-ABT,GTEX_ColonTransverse,0.02445488412687354,0.4601226993865031,1141
iDNA-ABT,GTEX_MuscleSkeletal,-0.06912952815207493,0.4915254237288136,118
iDNA-ABT,GTEX_Lung,-0.02851489939038874,0.4800861141011841,929
iDNA-ABT,GTEX_Ovary,-0.2042495304960426,0.4772036474164134,329
iDNA-ABT,GTEX_BreastMammaryTissue,-0.01896354412447283,0.4940476190476191,168
iDNA-ABT,EPIC,-0.08380895626475847,0.3218390804597701,87
iDNA-ABT,skin,-0.0001154261427055793,0.4567901234567901,81
iDNA-ABT,MDSs,0.04130458994521092,0.4285714285714285,66
