,Pancreas-Delta,Blood-Granulocytes,Blood-Monocytes,Aorta-Endothel,Cortex-Neuron
scGPT_FiLM_all,0.742941,0.635684,0.600635,0.677347,0.659638
scGPT_FiLM_sample_1,0.697148,0.525181,0.589444,0.704492,0.665755
scGPT_FiLM_sample_10%,0.680982,0.556765,0.598571,0.735244,0.635682
scGPT_cell_linear_all,0.693301,0.6197,0.55,0.676259,0.623371
scGPT_cell_linear_sample_1,0.717848,0.55536,0.55123,0.675251,0.638669
scGPT_cell_linear_sample_10%,0.749828,0.599719,0.570198,0.608025,0.641653
scGPT_generate_all,0.627764,0.624432,0.580397,0.744957,0.649365
scGPT_generate_sample_1,0.666919,0.609718,0.573095,0.696834,0.626543
scGPT_generate_sample_10%,0.71353,0.639179,0.561825,0.680551,0.615272

scFoundation_FiLM_all,0.695818,0.57407,0.594246,0.741854,0.679554
scFoundation_FiLM_sample_1,0.664323,0.59574,0.551667,0.741007,0.630952
scFoundation_FiLM_sample_10%,0.716571,0.593566,0.571548,0.686798,0.68761
scFoundation_cell_linear_all,0.673183,0.600455,0.53877,0.739738,0.571676
scFoundation_cell_linear_sample_1,0.692247,0.501655,0.558611,0.709087,0.625885
scFoundation_cell_linear_sample_10%,0.661985,0.56979,0.51496,0.724301,0.643453
scFoundation_generate_all,0.63439,0.620251,0.610198,0.714326,0.621757
scFoundation_generate_sample_1,0.622834,0.555879,0.60746,0.733511,0.629865
scFoundation_generate_sample_10%,0.620122,0.611891,0.631032,0.710175,0.610993

CellFM_FiLM_all,0.634211,0.618646,0.612242,0.724402,0.640688
CellFM_FiLM_sample_1,0.624189,0.579789,0.534643,0.739657,0.624639
CellFM_FiLM_sample_10%,0.666348,0.592463,0.600635,0.654515,0.636921
CellFM_cell_linear_all,0.659184,0.596576,0.567063,0.788425,0.616355
CellFM_cell_linear_sample_1,0.64257,0.621823,0.59377,0.726861,0.60472
CellFM_cell_linear_sample_10%,0.643541,0.640466,0.58881,0.730186,0.601525
CellFM_generate_all,0.672578,0.602913,0.591508,0.745239,0.587106
CellFM_generate_sample_1,0.617425,0.654595,0.607937,0.651714,0.619984
CellFM_generate_sample_10%,0.637162,0.641352,0.585476,0.679604,0.642307
