chr,model,cell,corr,mse,count
chr1,iDNA-ABT,Adipocytes,0.5136291499,0.07101169777,2261392
chr10,iDNA-ABT,Adipocytes,0.4873094906,0.06513266026,1343916
chr11,iDNA-ABT,Adipocytes,0.4823096837,0.07147709088,1286724
chr12,iDNA-ABT,Adipocytes,0.4808946151,0.06758402814,1279958
chr13,iDNA-ABT,Adipocytes,0.4589829276,0.05939580908,802050
chr14,iDNA-ABT,Adipocytes,0.4966134248,0.06791932556,851272
chr15,iDNA-ABT,Adipocytes,0.5172477406,0.06786290428,845140
chr16,iDNA-ABT,Adipocytes,0.4889161814,0.0696371831,1075841
chr17,iDNA-ABT,Adipocytes,0.5293396458,0.07820870749,1162529
chr18,iDNA-ABT,Adipocytes,0.457556211,0.05986107096,684147
chr19,iDNA-ABT,Adipocytes,0.4798993586,0.09007978339,1041902
chr2,iDNA-ABT,Adipocytes,0.4896359663,0.06241302647,2145318
chr20,iDNA-ABT,Adipocytes,0.4980094756,0.0708463573,737523
chr21,iDNA-ABT,Adipocytes,0.442419258,0.06437906915,380325
chr22,iDNA-ABT,Adipocytes,0.49241156,0.07155043065,582668
chr3,iDNA-ABT,Adipocytes,0.4895653466,0.06147756617,1627424
chr4,iDNA-ABT,Adipocytes,0.4647179307,0.05886193831,1459849
chr5,iDNA-ABT,Adipocytes,0.4809741559,0.06270417461,1482871
chr6,iDNA-ABT,Adipocytes,0.4731076374,0.06710214132,1477069
chr7,iDNA-ABT,Adipocytes,0.4711046599,0.06365294847,1549069
chr8,iDNA-ABT,Adipocytes,0.4781120985,0.06137486914,1284435
chr9,iDNA-ABT,Adipocytes,0.4992733974,0.06765447799,1181338
chrX,iDNA-ABT,Adipocytes,0.3768122069,0.0473327219,1136543
chr1,iDNA-ABT,Aorta-Endothel,0.509730562,0.07521638264,2262556
chr10,iDNA-ABT,Aorta-Endothel,0.4694223319,0.07207278956,1344172
chr11,iDNA-ABT,Aorta-Endothel,0.4708504555,0.07853920396,1285654
chr12,iDNA-ABT,Aorta-Endothel,0.4636397485,0.07540400351,1278813
chr13,iDNA-ABT,Aorta-Endothel,0.4402562651,0.0672275313,801761
chr14,iDNA-ABT,Aorta-Endothel,0.4906748185,0.07530927095,851670
chr15,iDNA-ABT,Aorta-Endothel,0.5133729029,0.073149938,845128
chr16,iDNA-ABT,Aorta-Endothel,0.4643580823,0.07861287926,1075906
chr17,iDNA-ABT,Aorta-Endothel,0.5277742147,0.08077688416,1161205
chr18,iDNA-ABT,Aorta-Endothel,0.4162603991,0.07131698072,685049
chr19,iDNA-ABT,Aorta-Endothel,0.488605468,0.09249416933,1041043
chr2,iDNA-ABT,Aorta-Endothel,0.4729253326,0.06972259663,2146851
chr20,iDNA-ABT,Aorta-Endothel,0.4851573205,0.07711894909,736722
chr21,iDNA-ABT,Aorta-Endothel,0.4150275943,0.07435146275,379268
chr22,iDNA-ABT,Aorta-Endothel,0.4863276943,0.07599974373,583715
chr3,iDNA-ABT,Aorta-Endothel,0.4823884889,0.06832284359,1626783
chr4,iDNA-ABT,Aorta-Endothel,0.4450303484,0.06843110622,1460920
chr5,iDNA-ABT,Aorta-Endothel,0.4746518162,0.07121359792,1482800
chr6,iDNA-ABT,Aorta-Endothel,0.4725550537,0.07247092202,1477076
chr7,iDNA-ABT,Aorta-Endothel,0.4564411159,0.07082944383,1547307
chr8,iDNA-ABT,Aorta-Endothel,0.4578314804,0.07055964523,1284483
chr9,iDNA-ABT,Aorta-Endothel,0.478139423,0.07433274832,1183022
chrX,iDNA-ABT,Aorta-Endothel,0.3682703684,0.0719395778,1136928
chr1,iDNA-ABT,Aorta-Smooth-Muscle,0.334211219,0.08549777718,2263318
chr10,iDNA-ABT,Aorta-Smooth-Muscle,0.3058698365,0.08240982648,1345928
chr11,iDNA-ABT,Aorta-Smooth-Muscle,0.2970632268,0.0880428385,1287043
chr12,iDNA-ABT,Aorta-Smooth-Muscle,0.3047133905,0.0834117231,1278143
chr13,iDNA-ABT,Aorta-Smooth-Muscle,0.2541400138,0.07715769517,802025
chr14,iDNA-ABT,Aorta-Smooth-Muscle,0.3010846072,0.08483368409,851890
chr15,iDNA-ABT,Aorta-Smooth-Muscle,0.3409649476,0.08350197595,844644
chr16,iDNA-ABT,Aorta-Smooth-Muscle,0.2920648042,0.08895859562,1076254
chr17,iDNA-ABT,Aorta-Smooth-Muscle,0.3761833388,0.09086087737,1163088
chr18,iDNA-ABT,Aorta-Smooth-Muscle,0.272557883,0.0784017634,685140
chr19,iDNA-ABT,Aorta-Smooth-Muscle,0.3226091036,0.09931653528,1042185
chr2,iDNA-ABT,Aorta-Smooth-Muscle,0.2962180821,0.0802204023,2147528
chr20,iDNA-ABT,Aorta-Smooth-Muscle,0.3176581539,0.08686449716,737061
chr21,iDNA-ABT,Aorta-Smooth-Muscle,0.2325598994,0.08233665374,380386
chr22,iDNA-ABT,Aorta-Smooth-Muscle,0.3358246648,0.08538729849,583096
chr3,iDNA-ABT,Aorta-Smooth-Muscle,0.2971254013,0.07762430982,1629545
